[I 2026-03-10 23:00:29,035] A new study created in RDB with name: respeaker_v3_ssz
[I 2026-03-10 23:31:46,433] Trial 39 finished with value: 0.4350020648919469 and parameters: {'window_ms': 140, 'overlap': 0.55, 'freq_low_hz': 1100, 'freq_high_hz': 3300, 'epsilon': 0.2448200212159995, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:32:01,346] Trial 42 finished with value: 0.42191443700041464 and parameters: {'window_ms': 85, 'overlap': 0.7, 'freq_low_hz': 550, 'freq_high_hz': 2900, 'epsilon': 0.39932155993293583, 'd_freq': 7}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:32:11,073] Trial 44 finished with value: 0.40769345050983574 and parameters: {'window_ms': 145, 'overlap': 0.3, 'freq_low_hz': 600, 'freq_high_hz': 5200, 'epsilon': 0.08126552837078965, 'd_freq': 7}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:33:03,670] Trial 45 finished with value: 0.4252304357996476 and parameters: {'window_ms': 145, 'overlap': 0.65, 'freq_low_hz': 650, 'freq_high_hz': 4600, 'epsilon': 0.10073774476647374, 'd_freq': 7}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:33:17,735] Trial 46 finished with value: 0.41122875753619104 and parameters: {'window_ms': 45, 'overlap': 0.4, 'freq_low_hz': 650, 'freq_high_hz': 2800, 'epsilon': 0.4011909464483583, 'd_freq': 3}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:33:32,080] Trial 43 finished with value: 0.41426920060258415 and parameters: {'window_ms': 125, 'overlap': 0.7, 'freq_low_hz': 550, 'freq_high_hz': 5300, 'epsilon': 0.37740066360475144, 'd_freq': 7}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:33:41,120] Trial 47 finished with value: 0.42212110983690354 and parameters: {'window_ms': 35, 'overlap': 0.4, 'freq_low_hz': 650, 'freq_high_hz': 3600, 'epsilon': 0.10105649045686463, 'd_freq': 3}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:34:57,702] Trial 48 finished with value: 0.42234709267509135 and parameters: {'window_ms': 40, 'overlap': 0.4, 'freq_low_hz': 700, 'freq_high_hz': 3700, 'epsilon': 0.11930142958915672, 'd_freq': 2}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:35:28,703] Trial 52 finished with value: 0.4116106458233542 and parameters: {'window_ms': 55, 'overlap': 0.45, 'freq_low_hz': 950, 'freq_high_hz': 2500, 'epsilon': 0.16380790033602827, 'd_freq': 2}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:35:48,290] Trial 49 finished with value: 0.4117207773130165 and parameters: {'window_ms': 50, 'overlap': 0.4, 'freq_low_hz': 700, 'freq_high_hz': 3600, 'epsilon': 0.16571914054439688, 'd_freq': 2}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:36:19,960] Trial 50 finished with value: 0.427875035506149 and parameters: {'window_ms': 125, 'overlap': 0.45, 'freq_low_hz': 700, 'freq_high_hz': 3600, 'epsilon': 0.20983757817872323, 'd_freq': 2}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:36:32,699] Trial 54 finished with value: 0.4140292832122426 and parameters: {'window_ms': 210, 'overlap': 0.6000000000000001, 'freq_low_hz': 800, 'freq_high_hz': 2100, 'epsilon': 0.2142188059144754, 'd_freq': 5}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:36:34,426] Trial 51 finished with value: 0.42127697616629384 and parameters: {'window_ms': 60, 'overlap': 0.45, 'freq_low_hz': 700, 'freq_high_hz': 3600, 'epsilon': 0.208941966987697, 'd_freq': 2}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:36:36,845] Trial 53 finished with value: 0.4209993702811465 and parameters: {'window_ms': 200, 'overlap': 0.45, 'freq_low_hz': 900, 'freq_high_hz': 4100, 'epsilon': 0.21185463867966597, 'd_freq': 5}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:36:44,021] Trial 55 finished with value: 0.42116062500236634 and parameters: {'window_ms': 210, 'overlap': 0.5, 'freq_low_hz': 800, 'freq_high_hz': 2100, 'epsilon': 0.20780010349336367, 'd_freq': 5}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:41:56,916] Trial 17 finished with value: 0.4468773263811968 and parameters: {'window_ms': 75, 'overlap': 0.9, 'freq_low_hz': 900, 'freq_high_hz': 4100, 'epsilon': 0.2124403158316476, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:43:10,367] Trial 57 finished with value: 0.43695392888923285 and parameters: {'window_ms': 70, 'overlap': 0.5, 'freq_low_hz': 900, 'freq_high_hz': 4000, 'epsilon': 0.4488788241240062, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:43:10,693] Trial 59 finished with value: 0.43676195550190733 and parameters: {'window_ms': 65, 'overlap': 0.5, 'freq_low_hz': 800, 'freq_high_hz': 3800, 'epsilon': 0.2844398324099313, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:43:15,405] Trial 60 finished with value: 0.43750205374852036 and parameters: {'window_ms': 70, 'overlap': 0.5, 'freq_low_hz': 900, 'freq_high_hz': 3900, 'epsilon': 0.2884420973250311, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:43:33,785] Trial 56 finished with value: 0.4369033295872745 and parameters: {'window_ms': 65, 'overlap': 0.5, 'freq_low_hz': 900, 'freq_high_hz': 4100, 'epsilon': 0.2040183594545142, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:43:34,118] Trial 58 finished with value: 0.43695392888923285 and parameters: {'window_ms': 70, 'overlap': 0.5, 'freq_low_hz': 900, 'freq_high_hz': 4100, 'epsilon': 0.28427442819011733, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:44:48,343] Trial 63 finished with value: 0.41442878585639953 and parameters: {'window_ms': 75, 'overlap': 0.7, 'freq_low_hz': 1050, 'freq_high_hz': 4200, 'epsilon': 0.3281724020263058, 'd_freq': 12}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:44:50,461] Trial 64 finished with value: 0.3898442300658619 and parameters: {'window_ms': 25, 'overlap': 0.7, 'freq_low_hz': 900, 'freq_high_hz': 4600, 'epsilon': 0.3329385361747775, 'd_freq': 12}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:46:07,597] Trial 65 finished with value: 0.40058919869126347 and parameters: {'window_ms': 25, 'overlap': 0.8500000000000001, 'freq_low_hz': 1050, 'freq_high_hz': 4300, 'epsilon': 0.3447217355055125, 'd_freq': 12}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:51:01,989] Trial 69 finished with value: 0.4347692152412407 and parameters: {'window_ms': 80, 'overlap': 0.65, 'freq_low_hz': 800, 'freq_high_hz': 3900, 'epsilon': 0.22367844679656818, 'd_freq': 2}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:53:58,343] Trial 66 finished with value: 0.4279085546906287 and parameters: {'window_ms': 80, 'overlap': 0.8500000000000001, 'freq_low_hz': 1050, 'freq_high_hz': 3900, 'epsilon': 0.3271337411292241, 'd_freq': 2}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:55:07,434] Trial 68 finished with value: 0.4278887178372033 and parameters: {'window_ms': 80, 'overlap': 0.8500000000000001, 'freq_low_hz': 1000, 'freq_high_hz': 3900, 'epsilon': 0.18973204343874311, 'd_freq': 2}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:55:09,996] Trial 67 finished with value: 0.4107970214843771 and parameters: {'window_ms': 25, 'overlap': 0.8500000000000001, 'freq_low_hz': 1050, 'freq_high_hz': 3900, 'epsilon': 0.2668836310758308, 'd_freq': 2}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:56:21,583] Trial 70 finished with value: 0.42157700871103454 and parameters: {'window_ms': 100, 'overlap': 0.8500000000000001, 'freq_low_hz': 950, 'freq_high_hz': 3100, 'epsilon': 0.29805813455650265, 'd_freq': 3}. Best is trial 14 with value: 0.44688512628927035.
