acc_within_10deg_mean,angle_mae_std,d_freq,epsilon,false_alarms_mean,freq_high_hz,freq_low_hz,layout_mae_std,mae_deg_matched_mean,mdl_beta,misses_mean,nfft,overlap,power_thresh_percentile,recall_mean,runtime_seconds_mean,state,trial_number,value,window_ms
0.4375,30.57353775632614,,,0.0,1800,950,3.84375,36.03125,,0.75,3600,0.25,,0.625,1.1652417615114246,COMPLETE,57,0.37558108444443555,225
0.40625,28.763566771829602,,,0.0,1800,100,0.28125,47.34375,,0.6875,3600,0.3,,0.65625,1.9336328782956116,COMPLETE,58,0.3980520698786918,225
0.4375,29.612982135163286,,,0.0,4150,1150,17.46875,39.28125,,0.8125,2880,0.65,,0.59375,3.0959869621146936,COMPLETE,59,0.36090530381766844,180
0.46875,28.607186050885886,,,0.0,1800,100,0.3125,47.9375,,0.6875,2880,0.8,,0.65625,3.429777510173153,COMPLETE,60,0.41099410482761883,180
0.25,23.792047483087703,,,0.0,1700,150,3.09375,53.34375,,0.625,2640,0.8,,0.6875,3.0779689602786675,COMPLETE,61,0.3503076911360318,165
0.40625,31.665241195986493,,,0.0,4200,100,17.1875,43.125,,0.75,2800,0.8,,0.625,6.3605530159547925,COMPLETE,62,0.3612814229884347,175
0.40625,18.745416106344507,,,0.0,2400,150,14.5,33.75,,0.8125,2960,0.75,,0.59375,3.616186178580392,COMPLETE,63,0.35670931518683924,185
0.4375,34.98096580642107,,,0.0,3900,100,17.4375,38.3125,,0.8125,2800,0.8,,0.59375,5.734988418407738,COMPLETE,64,0.3608000969949852,175
0.40625,18.966149945363185,,,0.0,2300,200,15.3125,32.5625,,0.875,2960,0.8,,0.5625,3.837561891588848,COMPLETE,65,0.34902074088218854,185
0.40625,32.03902344700131,,,0.0,4200,100,17.15625,42.90625,,0.75,2960,0.65,,0.625,4.418375910114264,COMPLETE,66,0.36129830119716505,185
0.375,23.241597944203406,,,0.0,2300,100,11.4375,36.0,,0.8125,2880,0.4,,0.59375,2.2607883129967377,COMPLETE,67,0.34938116942460173,180
0.15625,18.881595495018423,,,0.0,6000,100,2.15625,62.34375,,0.375,2880,0.4,,0.8125,5.969615738664288,COMPLETE,68,0.3683249241961192,180
0.34375,29.561575038383864,,,0.0,2400,100,6.8125,41.5625,,0.6875,2720,0.35,,0.65625,2.0740826353721786,COMPLETE,69,0.3589928188618896,170
0.34375,29.812549135179633,,,0.0,2300,100,7.71875,39.96875,,0.75,2640,0.4,,0.625,1.9221293772861827,COMPLETE,70,0.3505541552118313,165
0.40625,26.559411585161296,,,0.0,3600,100,17.0625,38.0625,,0.8125,2960,0.4,,0.59375,2.7694668124604505,COMPLETE,71,0.35452854412059753,185
0.40625,18.486375895507482,,,0.0,2400,200,14.4375,34.1875,,0.8125,2400,0.75,,0.59375,3.3036454298417084,COMPLETE,72,0.35665281889370826,150
0.34375,29.63205348520416,,,0.0,2300,250,7.8125,40.6875,,0.75,2400,0.8,,0.625,3.7097097685327753,COMPLETE,73,0.3503905700050621,150
0.4375,26.46266163743738,,,0.0,3500,250,16.21875,37.28125,,0.8125,3360,0.8,,0.59375,5.518108992837369,COMPLETE,74,0.36167646483938815,210
0.34375,28.7100095513307,,,0.0,5000,250,9.71875,45.34375,,0.8125,2480,0.6000000000000001,,0.59375,4.558684681775048,COMPLETE,75,0.3409315611756614,155
0.4375,26.292209367748082,,,0.0,3800,250,17.15625,38.40625,,0.8125,3360,0.6000000000000001,,0.59375,3.5630153070378583,COMPLETE,76,0.36134642977575077,210
0.46875,28.247217091910134,,,0.0,3700,250,20.90625,34.09375,,0.875,3360,0.75,,0.5625,5.214014271565247,COMPLETE,77,0.36080097086466156,210
0.34375,28.89467673724695,,,0.0,5200,250,9.6875,45.4375,,0.8125,3360,0.8,,0.59375,8.207693274278427,COMPLETE,78,0.3409169289958959,210
0.40625,23.61896417605988,,,0.0,4900,250,17.9375,36.8125,,0.8125,3360,0.5,,0.59375,4.378659901442006,COMPLETE,79,0.3549401376615021,210
0.4375,26.809203614383996,,,0.0,4700,250,20.34375,38.65625,,0.875,3360,0.5,,0.5625,3.4280761400877964,COMPLETE,80,0.3530966558282262,210
0.40625,27.014156445047476,,,0.0,4800,250,20.21875,38.65625,,0.875,3360,0.6000000000000001,,0.5625,4.2518355179345235,COMPLETE,81,0.3462169112933529,210
0.25,22.436346592917037,,,0.0,1500,250,6.21875,48.90625,,0.5625,3360,0.6000000000000001,,0.71875,1.8097262413357385,COMPLETE,82,0.3552875226635118,210
0.25,21.96390415972306,,,0.0,1500,250,5.59375,49.28125,,0.5625,3440,0.55,,0.71875,1.5799931543006096,COMPLETE,83,0.35582058562631397,215
0.3125,22.310574146579018,,,0.0,1500,150,0.3125,47.9375,,0.6875,3440,0.8,,0.65625,2.440458311291877,COMPLETE,84,0.3771665089620663,215
0.46875,30.67239635955267,,,0.0,1900,150,5.53125,37.59375,,0.75,3760,0.75,,0.625,2.4655863305088133,COMPLETE,85,0.37998850391238603,235
0.46875,30.67239635955267,,,0.0,1900,150,5.53125,37.59375,,0.75,3760,0.75,,0.625,2.5549784351314884,COMPLETE,86,0.37998850391238603,235
0.46875,30.640748501790878,,,0.0,1900,150,5.375,37.4375,,0.75,3760,0.5,,0.625,1.8186234409513418,COMPLETE,87,0.3801721053187061,235
